sd4,sd5,sd6,sd1,sd2,sd3,q1,q3,q2,q5,q4,eligible,respondents,avg5,avg6,term,response_rate,name,q6,n5,n6,avg4,n1,n2,n3,n4,avg1,avg2,avg3
1.4,0.89,1.08,1.18,1.11,1.14,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'161'],[u'102'],4.6,2.7,Fall 2013,[u'63%'],6.00&nbsp;Introduction to Computer Science and Programming,Average hours you spent per week on this subject in the classroom,96,95,5.6,96,96,96,97,5.8,5.9,6.2
1.34,0.99,1.2,1.08,1.1,1.25,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'198'],[u'121'],4.6,5.7,Fall 2013,[u'61%'],6.01&nbsp;Introduction to EECS I,Average hours you spent per week on this subject in the classroom,113,113,6.0,115,115,115,111,6.2,6.2,6.1
1.49,0.86,2.17,1.41,1.28,1.5,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'232'],[u'133'],4.6,3.5,Fall 2013,[u'57%'],6.02&nbsp;Introduction to EECS II,Average hours you spent per week on this subject in the classroom,127,124,5.1,128,125,128,127,5.3,5.3,5.2
1.38,0.95,1.29,0.82,0.78,0.98,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'83'],[u'53'],4.5,4.5,Fall 2013,[u'64%'],6.002&nbsp;Circuits and Electronics,Average hours you spent per week on this subject in the classroom,48,48,5.6,48,48,48,48,6.2,6.3,6.1
1.17,0.97,1.18,1.09,0.93,0.91,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'56'],[u'40'],4.4,3.6,Fall 2013,[u'71%'],6.003&nbsp;Signals and Systems,Average hours you spent per week on this subject in the classroom,39,36,5.7,38,39,39,39,6.0,6.1,6.2
1.13,0.84,1.97,0.95,1.08,1.06,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'230'],[u'158'],4.6,3.8,Fall 2013,[u'69%'],6.004&nbsp;Computation Structures,Average hours you spent per week on this subject in the classroom,146,144,6.2,149,148,148,148,6.3,6.2,6.2
1.44,0.88,1.25,0.96,0.8,0.93,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'241'],[u'126'],4.4,4.3,Fall 2013,[u'52%'],6.005&nbsp;Elements of Software Construction,Average hours you spent per week on this subject in the classroom,117,116,5.8,116,115,115,115,6.3,6.4,6.5
1.25,0.93,1.63,0.81,0.89,0.79,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'197'],[u'100'],4.6,3.6,Fall 2013,[u'51%'],6.006&nbsp;Introduction to Algorithms,Average hours you spent per week on this subject in the classroom,92,91,5.9,91,91,92,90,6.2,6.3,6.4
0.94,1.56,0.98,0.65,0.93,0.65,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'25'],[u'14'],4.9,5.3,Fall 2013,[u'56%'],6.007&nbsp;Electromagnetic Energy: From Motors to Lasers,Average hours you spent per week on this subject in the classroom,14,12,6.5,14,14,14,14,6.6,6.4,6.6
1.26,0.92,1.27,1.08,1.18,1.33,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'38'],[u'18'],4.8,3.6,Fall 2013,[u'47%'],6.012&nbsp;Microelectronic Devices and Circuits,Average hours you spent per week on this subject in the classroom,18,17,5.3,18,18,18,17,5.7,5.7,5.3
